CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
USA,2015,2,m,343.356860682436,8912.97595907589,6110.06774739128,7516.4749436356,8012.72554271542,30895.6010535006,0.00057272343123998,0.00438543130806037,0.0247385196213859,0.0652253007310702,0.208648719744133,0.0101879960989043,1,1,0
USA,2015,2,f,267.904990655233,5435.76218958641,4601.93225260872,7281.5250563644,13399.2744572846,30986.3989464994,0.000466445398752011,0.00265794331877278,0.0163725467555855,0.0484338134294805,0.181705237271061,0.00991687583684115,1,1,0
USA,2015,2,b,611.261851337669,14348.7381486623,10712,14798,21412,61882,0.000520723433358788,0.00351899809589382,0.0202854917840139,0.0557199051640231,0.190931785811883,0.0100504090347738,1,0,0
USA,2015,3,m,353.549812441457,8825.92174227747,6018.8045995587,7413.36341413445,7961.83208699856,30573.4716554106,0.000589725399088495,0.0043425982195836,0.0243690122334637,0.0643305354892533,0.20732347101047,0.0100817721401795,1,1,0
USA,2015,3,f,275.858065017347,5382.67038026373,4533.1954004413,7181.63658586555,13314.1679130014,30687.5283445894,0.000480292378358729,0.00263198283430914,0.0161279978869434,0.0477693949860298,0.180551122182846,0.00982122539822319,1,1,0
USA,2015,3,b,629.407877458804,14208.5921225412,10552,14595,21276,61261,0.000536181720184537,0.00348462757536736,0.0199824971345141,0.0549555356040625,0.189719067575828,0.00994955088522154,1,0,0
USA,2015,4,m,349.763858930964,8487.22368786099,5743.87436671305,7214.75943366672,7550.94227540219,29346.5636225739,0.000583410382459047,0.00417594938549752,0.0232558712273484,0.0626071206638817,0.196624036381334,0.00967719239982717,1,1,0
USA,2015,4,f,272.904065968562,5176.10838723951,4326.12563328695,6989.24056633328,12627.0577245978,29391.4363774261,0.000475149214504805,0.00253097950669431,0.0153912944201593,0.0464896530580039,0.171233340073579,0.00940642459695302,1,1,0
USA,2015,4,b,622.667924899526,13663.3320751005,10070,14204,20178,58738,0.000530440070792116,0.0033509036862817,0.0190697257528958,0.053483276993498,0.179928151228852,0.00953978420032554,1,0,0
USA,2015,5,m,345.97790542047,8298.8482722542,5767.8309430191,6986.18707762968,7311.44366026405,28710.2878585875,0.000577095365829598,0.00408326345780469,0.0233528669166779,0.0606236509160116,0.190387571752329,0.0094673769315961,1,1,0
